,instrument,granularity,candles
0,EUR_USD,S5,"{'complete': True, 'volume': 2, 'time': '2022-01-07T21:56:10.000000000Z', 'bid': {'o': '1.13599', 'h': '1.13599', 'l': '1.13596', 'c': '1.13596'}, 'mid': {'o': '1.13610', 'h': '1.13610', 'l': '1.13607', 'c': '1.13607'}, 'ask': {'o': '1.13621', 'h': '1.13621', 'l': '1.13618', 'c': '1.13618'}}"
1,EUR_USD,S5,"{'complete': True, 'volume': 8, 'time': '2022-01-07T21:56:30.000000000Z', 'bid': {'o': '1.13598', 'h': '1.13605', 'l': '1.13598', 'c': '1.13602'}, 'mid': {'o': '1.13609', 'h': '1.13616', 'l': '1.13609', 'c': '1.13612'}, 'ask': {'o': '1.13620', 'h': '1.13626', 'l': '1.13620', 'c': '1.13623'}}"
2,EUR_USD,S5,"{'complete': True, 'volume': 2, 'time': '2022-01-07T21:56:35.000000000Z', 'bid': {'o': '1.13603', 'h': '1.13605', 'l': '1.13603', 'c': '1.13605'}, 'mid': {'o': '1.13614', 'h': '1.13616', 'l': '1.13614', 'c': '1.13616'}, 'ask': {'o': '1.13625', 'h': '1.13626', 'l': '1.13625', 'c': '1.13626'}}"
3,EUR_USD,S5,"{'complete': True, 'volume': 1, 'time': '2022-01-07T21:57:00.000000000Z', 'bid': {'o': '1.13606', 'h': '1.13606', 'l': '1.13606', 'c': '1.13606'}, 'mid': {'o': '1.13618', 'h': '1.13618', 'l': '1.13618', 'c': '1.13618'}, 'ask': {'o': '1.13629', 'h': '1.13629', 'l': '1.13629', 'c': '1.13629'}}"
4,EUR_USD,S5,"{'complete': True, 'volume': 1, 'time': '2022-01-07T21:57:10.000000000Z', 'bid': {'o': '1.13608', 'h': '1.13608', 'l': '1.13608', 'c': '1.13608'}, 'mid': {'o': '1.13620', 'h': '1.13620', 'l': '1.13620', 'c': '1.13620'}, 'ask': {'o': '1.13632', 'h': '1.13632', 'l': '1.13632', 'c': '1.13632'}}"
5,EUR_USD,S5,"{'complete': True, 'volume': 12, 'time': '2022-01-07T21:57:15.000000000Z', 'bid': {'o': '1.13606', 'h': '1.13606', 'l': '1.13595', 'c': '1.13597'}, 'mid': {'o': '1.13618', 'h': '1.13618', 'l': '1.13608', 'c': '1.13610'}, 'ask': {'o': '1.13630', 'h': '1.13630', 'l': '1.13621', 'c': '1.13624'}}"
6,EUR_USD,S5,"{'complete': True, 'volume': 2, 'time': '2022-01-07T21:57:25.000000000Z', 'bid': {'o': '1.13600', 'h': '1.13602', 'l': '1.13600', 'c': '1.13602'}, 'mid': {'o': '1.13612', 'h': '1.13615', 'l': '1.13612', 'c': '1.13615'}, 'ask': {'o': '1.13625', 'h': '1.13628', 'l': '1.13625', 'c': '1.13628'}}"
7,EUR_USD,S5,"{'complete': True, 'volume': 1, 'time': '2022-01-07T21:57:45.000000000Z', 'bid': {'o': '1.13593', 'h': '1.13593', 'l': '1.13593', 'c': '1.13593'}, 'mid': {'o': '1.13612', 'h': '1.13612', 'l': '1.13612', 'c': '1.13612'}, 'ask': {'o': '1.13630', 'h': '1.13630', 'l': '1.13630', 'c': '1.13630'}}"
8,EUR_USD,S5,"{'complete': True, 'volume': 2, 'time': '2022-01-07T21:57:50.000000000Z', 'bid': {'o': '1.13602', 'h': '1.13603', 'l': '1.13602', 'c': '1.13603'}, 'mid': {'o': '1.13614', 'h': '1.13616', 'l': '1.13614', 'c': '1.13616'}, 'ask': {'o': '1.13625', 'h': '1.13628', 'l': '1.13625', 'c': '1.13628'}}"
9,EUR_USD,S5,"{'complete': True, 'volume': 1, 'time': '2022-01-07T21:58:00.000000000Z', 'bid': {'o': '1.13603', 'h': '1.13603', 'l': '1.13603', 'c': '1.13603'}, 'mid': {'o': '1.13616', 'h': '1.13616', 'l': '1.13616', 'c': '1.13616'}, 'ask': {'o': '1.13628', 'h': '1.13628', 'l': '1.13628', 'c': '1.13628'}}"
