,TimeStamp,Open,High,Low,Close
0,20:30,1.13236,1.13294,1.1323,1.13271
1,20:35,1.13271,1.13382,1.13271,1.13366
2,20:40,1.13366,1.13387,1.13317,1.13354
3,20:45,1.13354,1.13359,1.13321,1.13338
4,20:50,1.13338,1.13362,1.13338,1.13358
5,20:55,1.13358,1.13372,1.13338,1.13351
6,21:00,1.13351,1.13378,1.13344,1.13362
7,21:05,1.13362,1.13394,1.13362,1.1339
8,21:10,1.1339,1.13413,1.13356,1.13379
9,21:15,1.13379,1.13453,1.13379,1.1341
10,21:20,1.1341,1.13417,1.1335,1.13362
11,21:25,1.13362,1.13417,1.13362,1.13405
12,21:30,1.13405,1.13518,1.13404,1.13496
13,21:35,1.13496,1.1355,1.13488,1.13537
14,21:40,1.13537,1.13602,1.13536,1.13598
15,21:45,1.13598,1.1365,1.13587,1.13608
16,21:50,1.13608,1.13647,1.13576,1.1362
17,21:55,1.1362,1.13652,1.13608,1.13621
18,22:00,1.13621,1.1365,1.13612,1.13628
19,22:05,1.13628,1.13666,1.13628,1.13657
20,22:10,1.13657,1.13687,1.13651,1.13663
21,22:15,1.13663,1.13664,1.1361,1.13642
22,22:20,1.13642,1.13661,1.13628,1.13641
23,22:25,1.13641,1.1365,1.13621,1.13621
24,22:30,1.13621,1.13634,1.13562,1.13564
25,22:35,1.13564,1.13604,1.13559,1.13582
26,22:40,1.13582,1.13613,1.1357,1.13572
27,22:45,1.13572,1.1359,1.13558,1.13561
28,22:50,1.13561,1.13592,1.13539,1.1358
29,22:55,1.1358,1.13591,1.13569,1.13572
30,23:00,1.13572,1.13594,1.13566,1.13572
31,23:05,1.13572,1.13584,1.13535,1.13547
32,23:10,1.13547,1.13558,1.13532,1.13538
33,23:15,1.13538,1.13574,1.13536,1.13546
34,23:20,1.13546,1.13577,1.13546,1.13571
35,23:25,1.13571,1.13572,1.13528,1.13543
36,23:30,1.13543,1.1356,1.13532,1.13542
37,23:35,1.13542,1.13546,1.13522,1.13534
38,23:40,1.13534,1.13562,1.13531,1.13562
39,23:45,1.13562,1.13592,1.13552,1.1358
40,23:50,1.1358,1.13606,1.13572,1.13604
41,23:55,1.13604,1.13604,1.13574,1.13574
42,00:00,1.13574,1.13614,1.13574,1.13606
43,00:05,1.13606,1.13619,1.13605,1.13605
44,00:10,1.13605,1.13659,1.13605,1.13644
45,00:15,1.13644,1.13677,1.13642,1.13677
46,00:20,1.13677,1.13686,1.13662,1.13662
47,00:25,1.13662,1.13668,1.13653,1.13667
48,00:30,1.13667,1.137,1.13662,1.13698
49,00:35,1.13698,1.1373,1.13691,1.13727
50,00:40,1.13727,1.13738,1.13692,1.1373
51,00:45,1.1373,1.13755,1.13719,1.13719
52,00:50,1.13719,1.13719,1.13684,1.13686
53,00:55,1.13686,1.13686,1.13636,1.13648
54,01:00,1.13648,1.13658,1.13628,1.13648
55,01:05,1.13648,1.13658,1.13646,1.1365
56,01:10,1.1365,1.1366,1.13638,1.13659
57,01:15,1.13659,1.1367,1.13656,1.13668
58,01:20,1.13668,1.1369,1.13666,1.13682
59,01:25,1.13682,1.13688,1.13663,1.13668
60,01:30,1.13668,1.13691,1.13662,1.13672
61,01:35,1.13672,1.13686,1.1366,1.1366
62,01:40,1.1366,1.13676,1.13642,1.13646
63,01:45,1.13646,1.13663,1.13641,1.13655
64,01:50,1.13655,1.13666,1.13644,1.13652
65,01:55,1.13652,1.13692,1.13652,1.13684
66,02:00,1.13684,1.13693,1.13672,1.13684
67,02:05,1.13684,1.13685,1.13666,1.13668
68,02:10,1.13668,1.13694,1.1366,1.13679
69,02:15,1.13679,1.13679,1.13654,1.13662
70,02:20,1.13662,1.13669,1.13646,1.13666
71,02:25,1.13666,1.1368,1.13652,1.13658
72,02:30,1.13658,1.13683,1.1365,1.13667
73,02:35,1.13667,1.13688,1.13667,1.13688
74,02:40,1.13688,1.1369,1.13674,1.13675
75,02:45,1.13675,1.13687,1.13669,1.13687
76,02:50,1.13687,1.13688,1.13684,1.13688
77,02:55,1.13688,1.13692,1.13674,1.1368
78,03:00,1.1368,1.13688,1.1368,1.13688
79,03:05,1.13688,1.13689,1.13682,1.13689
80,03:10,1.13689,1.13689,1.13678,1.13686
81,03:15,1.13686,1.13693,1.13684,1.13686
82,03:20,1.13686,1.13694,1.13686,1.1369
83,03:25,1.1369,1.13696,1.13688,1.13693
84,03:30,1.13693,1.13702,1.1369,1.1369
85,03:35,1.1369,1.13702,1.13688,1.13688
86,03:40,1.13688,1.13688,1.13676,1.13676
87,03:45,1.13676,1.13686,1.13676,1.13686
88,03:55,1.13686,1.13686,1.13675,1.13682
89,04:05,1.13682,1.13689,1.13682,1.13688
90,04:10,1.13688,1.1369,1.13678,1.13683
91,04:15,1.13683,1.13687,1.13677,1.13677
92,04:20,1.13677,1.13682,1.13676,1.13677
93,04:25,1.13677,1.13693,1.13677,1.13687
94,04:30,1.13687,1.13696,1.13672,1.13686
95,04:35,1.13686,1.13694,1.13686,1.1369
96,04:40,1.1369,1.137,1.13689,1.137
97,04:45,1.137,1.13702,1.13696,1.13796
98,04:50,1.13796,1.13698,1.13688,1.13788
99,04:55,1.13788,1.13688,1.13674,1.13774
100,05:00,1.13774,1.13698,1.13674,1.13798
101,05:05,1.13798,1.1371,1.13698,1.137
102,05:10,1.137,1.137,1.13676,1.13676
103,05:15,1.13676,1.13678,1.13674,1.1676
104,05:20,1.1676,1.1368,1.13664,1.13664
105,05:25,1.13664,1.1364,1.13658,1.1366
106,05:30,1.1366,1.13722,1.13659,1.1372
107,05:35,1.1372,1.13723,1.13706,1.13706
108,05:40,1.13706,1.13716,1.13789,1.13698
109,05:45,1.13698,1.137,1.1379,1.13691
110,05:50,1.13691,1.13702,1.13688,1.13692
111,05:55,1.13692,1.13697,1.13683,1.13692
112,06:00,1.13692,1.1372,1.1369,1.13714
113,06:05,1.13714,1.13717,1.1371,1.13712
114,06:10,1.13712,1.1372,1.13712,1.13718
115,06:15,1.13718,1.13734,1.13718,1.13734
116,06:20,1.13734,1.13736,1.1371,1.13734
117,06:25,1.13734,1.13734,1.13708,1.13708
118,06:30,1.13708,1.13721,1.13696,1.13708
119,06:35,1.13708,1.1372,1.13708,1.1372
120,06:40,1.1372,1.13722,1.1379,1.1369
121,06:45,1.1369,1.1369,1.13755,1.13671
122,06:50,1.13671,1.13678,1.13755,1.13678
123,06:55,1.13678,1.13687,1.13759,1.13656
124,07:00,1.13656,1.13677,1.13742,1.1367
125,07:05,1.1367,1.13688,1.13668,1.1367
126,07:10,1.1367,1.13694,1.1367,1.13688
127,07:15,1.13688,1.13692,1.13676,1.13681
128,07:20,1.13681,1.13692,1.13678,1.13687
129,07:25,1.13687,1.13702,1.13686,1.137
130,07:30,1.137,1.13728,1.13698,1.13722
131,07:35,1.13722,1.13729,1.13721,1.13725
132,07:40,1.13725,1.13737,1.1372,1.13727
133,07:45,1.13727,1.13728,1.1372,1.13726
134,07:50,1.13726,1.13732,1.13713,1.13716
135,07:55,1.13716,1.13722,1.13713,1.13718
136,08:00,1.13718,1.13721,1.13698,1.13699
137,08:05,1.13699,1.13702,1.1368,1.1369
138,08:10,1.1369,1.137,1.13688,1.137
139,08:15,1.137,1.13712,1.1369,1.13708
140,08:20,1.13708,1.13714,1.13702,1.1371
141,08:25,1.1371,1.13725,1.1371,1.1372
142,08:30,1.1372,1.13736,1.13714,1.13735
